id,code,description,valid_from,valid_to
0,6A,COP6(a)  20 days memory,1996-03-31 23:00:00+00,
1,6B,COP6(b)  100 days memory,1996-03-31 23:00:00+00,
2,6C,COP6(c)  250 days memory,1996-03-31 23:00:00+00,
3,6D,COP6(d)  450 days memory,1996-03-31 23:00:00+00,
4,C0,HH COP 10,2015-05-12 23:00:00+00,
5,C5,COP 1-5,1996-03-31 23:00:00+00,
6,C7,Code 7,1996-03-31 23:00:00+00,
7,IE,Import & Export Meter,2003-09-27 23:00:00+00,
8,LN,Teleswitch Non-Programmable,1996-03-31 23:00:00+00,
9,LP,Teleswitch Programmable,1996-03-31 23:00:00+00,
10,NE,NHH Export Meter,2003-09-27 23:00:00+00,
11,NO,Temporary - No Meter or other anomaly,1996-03-31 23:00:00+00,
12,PH,Unmetered - pseudo Half Hour,1996-03-31 23:00:00+00,
13,SS,Site Specific,1996-03-31 23:00:00+00,
14,TN,Timeswitch Non-Programmable,1996-03-31 23:00:00+00,
15,TP,Timeswitch Programmable (needn't have switch load),1996-03-31 23:00:00+00,
16,UM,Unmetered,1996-03-31 23:00:00+00,
17,UN,"No Timeswitch, Non-Programmable",1996-03-31 23:00:00+00,
18,UP,"No Timeswitch, Programmable",1996-03-31 23:00:00+00,
19,XX,Not Known,1996-03-31 23:00:00+00,
