"MTC Meter Type ID","MTC Meter Type Description","Effective From Settlement date (MMT)","Effective To Settlement Date (MMT)"
"6A","COP6(a)  20 days memory","01/04/1996",""
"6B","COP6(b)  100 days memory","01/04/1996",""
"6C","COP6(c)  250 days memory","01/04/1996",""
"6D","COP6(d)  450 days memory","01/04/1996",""
"C0","HH COP 10","13/05/2015",""
"C5","COP 1-5","01/04/1996",""
"C7","Code 7","01/04/1996",""
"IE","Import & Export Meter","28/09/2003",""
"LN","Teleswitch Non-Programmable","01/04/1996",""
"LP","Teleswitch Programmable","01/04/1996",""
"NE","NHH Export Meter","28/09/2003",""
"NO","Temporary - No Meter or other anomaly","01/04/1996",""
"PH","Unmetered - pseudo Half Hour","01/04/1996",""
"SS","Site Specific","01/04/1996",""
"TN","Timeswitch Non-Programmable","01/04/1996",""
"TP","Timeswitch Programmable (needn't have switch load)","01/04/1996",""
"UM","Unmetered","01/04/1996",""
"UN","No Timeswitch, Non-Programmable","01/04/1996",""
"UP","No Timeswitch, Programmable","01/04/1996",""
"XX","Not Known","01/04/1996",""
