MTC Meter Type ID,MTC Meter Type Description,Effective From Settlement date (MMT),Effective To Settlement Date (MMT)
6A,COP6(a)  20 days memory,1996-04-01 00:00:00+00,
6B,COP6(b)  100 days memory,1996-04-01 00:00:00+00,
6C,COP6(c)  250 days memory,1996-04-01 00:00:00+00,
6D,COP6(d)  450 days memory,1996-04-01 00:00:00+00,
C5,COP 1-5,1996-04-01 00:00:00+00,
C7,Code 7,1996-04-01 00:00:00+00,
IE,Import & Export Meter,2003-09-28 00:00:00+00,
LN,Teleswitch Non-Programmable,1996-04-01 00:00:00+00,
LP,Teleswitch Programmable,1996-04-01 00:00:00+00,
NE,NHH Export Meter,2003-09-28 00:00:00+00,
NO,Temporary - No Meter or other anomaly,1996-04-01 00:00:00+00,
PH,Unmetered - pseudo Half Hour,1996-04-01 00:00:00+00,
SS,Site Specific,1996-04-01 00:00:00+00,
TN,Timeswitch Non-Programmable,1996-04-01 00:00:00+00,
TP,Timeswitch Programmable (needn't have switch load),1996-04-01 00:00:00+00,
UM,Unmetered,1996-04-01 00:00:00+00,
UN,"No Timeswitch, Non-Programmable",1996-04-01 00:00:00+00,
UP,"No Timeswitch, Programmable",1996-04-01 00:00:00+00,
XX,Not Known,1996-04-01 00:00:00+00,
